,Name,Status,Location,Price,Stars,Ratings,Link
689,New Genuine   X1 Carbon 256GB  04X4477,Brand New,From United States,13926.09,New,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-04X4477/182171172450?epid=1657940469&hash=item2a6a3f7e62:g:Y7AAAOSwMNxXYG6U
458,New Genuine   X1 Carbon 256GB  04X4411,Brand New,From United States,13926.09,New,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-04X4411/182441176623?epid=1457938462&hash=item2a7a576e2f:g:c6cAAOSwPCVX5Y7M
729,New Genuine   X1 Carbon 256GB  00JT009,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-00JT009/201604174103?hash=item2ef08b9117:g:Y7AAAOSwMNxXYG6U
628,New Genuine   X1 Carbon 256GB  04X4450,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-04X4450/172241557971?hash=item281a6599d3:g:Y7AAAOSwMNxXYG6U
925,  X1 Carbon 6th Gen i5 8250U 1.60ghz 8GB Ram  READ   WORKING ,Parts Only,From United States,13904.04,0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-6th-Gen-i5-8250U-1-60ghz-8GB-Ram-READ-WORKING/184185530827?hash=item2ae25029cb:g:ancAAOSwR-9eVHNB
188,  X1 Carbon    i7 4th Gen 2.6GHz 16 GB 512GB WQHD ,Pre-Owned,From United States,13904.04,0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-14-Intel-Core-i7-4th-Gen-2-6GHz-16-GB-512GB-WQHD/223878618692?hash=item3420349e44:g:tYgAAOSwJU5eLhet
236, X1 Carbon Gen 3 i7 2.4GHZ/8GB Ram/1TB // Warranty ,Refurbished,From United States,13695.13,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-8GB-Ram-1TB-SSD-Windows-10-Pro-Warranty/283683802316?hash=item420cdf4ccc:g:2ucAAOSwTUBd1sFe
1023,Portables trim   x1 carbon (20bt) tara,Pre-Owned,From Spain,13573.0,0,0,https://www.ebay.com/itm/PORTATILES-DE-OCASION-Lenovo-ThinkPad-X1-Carbon-20BT-Tara/223823983749?hash=item341cf2f485:g:IakAAOSwEgReCf~C
37,  X1 Carbon 4th Generation  2.6GHz  i7 16GB RAM 512GB ,Pre-Owned,From United States,13346.72,Len,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4th-Generation-14-2-6GHz-Core-i7-16GB-RAM-512GB-SSD/264595884514?epid=1178445320&hash=item3d9b24c9e2:g:0-UAAOSwHv1eGjCT
385, X1 Carbon Gen 3 i7 2.4GHZ/4GB Ram/1TB // Warranty ,Refurbished,From United States,13161.25,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Gen-3-i7-2-4GHZ-4GB-Ram-1TB-SSD-Windows-10-Pro-Warranty/283683778677?hash=item420cdef075:g:2ucAAOSwTUBd1sFe
251, X1 Carbon  i7 2.6GHz 8GB 256GB   ,Refurbished,From United States,12998.54,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-Laptop-i7-2-6GHz-8GB-256GB-SSD-Windows-10-14/313005501862?hash=item48e094eda6:g:9rsAAOSwqMteT99h
